Feature,TimeTrainClus,Cluster,TimeTrainMatrix,Precision,Threshold,F1Score,Recall,Accuracy,TimeTrainCommDetect
1,0.015625,4,3.265688896179199,0.4808823529411765,0.8,0.5263209262239896,0.581242532855436,0.6666666666666666,3.2656893730163574
2,0.0,4,3.281313419342041,0.5058823529411764,0.8,0.5430998188999003,0.5862282878411911,0.6833333333333333,3.2969400882720947
3,0.0,4,3.3594412803649902,0.48117647058823526,0.8,0.46772227458372606,0.455,0.65,3.3281898498535156
4,0.0,4,3.3906898498535156,0.4671323529411765,0.8,0.5189320904171812,0.5836526181353767,0.6333333333333333,3.2500650882720947
5,0.0,4,3.2500648498535156,0.4818382352941176,0.8,0.4764361471668773,0.47115384615384615,0.65,3.4063169956207275
6,0.0,4,3.234438419342041,0.4671323529411765,0.8,0.4406370226278862,0.4169859514687101,0.6333333333333333,3.2813146114349365
7,0.0,4,3.2344377040863037,0.4671323529411765,0.8,0.4334759941909897,0.40434350132625996,0.6333333333333333,3.2969398498535156
8,0.0,4,3.20318865776062,0.4505882352941176,0.8,0.3862327149152496,0.33796296296296297,0.6333333333333333,3.2813141345977783
9,0.0,4,3.2344400882720947,0.5553676470588235,0.8,0.5872160939686876,0.6229395604395604,0.6166666666666667,3.265688896179199
10,0.0156252384185791,4,3.312565565109253,0.5030882352941176,0.8,0.48871191572318096,0.4751344086021505,0.65,3.2969393730163574
11,0.015624523162841797,4,3.218813180923462,0.5030882352941176,0.8,0.48871191572318096,0.4751344086021505,0.65,3.312565565109253
12,0.0,4,3.234436511993408,0.5130882352941176,0.8,0.5535619115749671,0.6009677419354839,0.6666666666666666,3.500070810317993
13,0.0,4,3.250063180923462,0.5130882352941176,0.8,0.49893999108527654,0.48555107526881724,0.6666666666666666,3.296941041946411
14,0.0,4,3.2031896114349365,0.5030882352941176,0.8,0.5053510977328799,0.5076344086021505,0.65,3.2813143730163574
15,0.0,4,3.2188124656677246,0.5130882352941176,0.8,0.5153512961221424,0.5176344086021505,0.6666666666666666,3.265690326690674
16,0.0,4,3.203188419342041,0.5130882352941176,0.8,0.5153512961221424,0.5176344086021505,0.6666666666666666,3.203188180923462
17,0.0,4,3.2188143730163574,0.49183823529411763,0.8,0.541265472372756,0.6017369727047146,0.6666666666666666,3.2969396114349365
18,0.0,4,3.3125672340393066,0.5030882352941176,0.8,0.48871191572318096,0.4751344086021505,0.65,3.2656900882720947
19,0.0,4,3.328190326690674,0.5030882352941176,0.8,0.48871191572318096,0.4751344086021505,0.65,3.2656898498535156
20,0.0,4,3.2344393730163574,0.5130882352941176,0.8,0.5153512961221424,0.5176344086021505,0.6666666666666666,3.3438150882720947
