Feature,Recall,F1Score,Precision,Cluster,Accuracy,Threshold,TimeTrainMatrix,TimeTrainCommDetect,TimeTrainClus
1,0.79585326953748,0.4799661197008197,0.34358974358974353,3,0.3933649289099526,0.8,4.109455585479736,4.812594890594482,0.09375214576721191
2,0.7367251016260162,0.6301771536719892,0.550553972776195,3,0.5687203791469194,0.8,3.4688172340393066,4.45321249961853,0.0625007152557373
3,0.7467388153444778,0.6412157082957143,0.5618233618233618,3,0.5781990521327014,0.8,3.4375667572021484,4.4844629764556885,0.06250119209289551
4,0.7467388153444778,0.6412157082957143,0.5618233618233618,3,0.5781990521327014,0.8,3.562570333480835,4.484463453292847,0.07812643051147461
5,0.7515540015540015,0.6463297979282854,0.5669515669515669,3,0.5829383886255924,0.8,3.562570571899414,4.484462738037109,0.07812643051147461
6,0.7467388153444778,0.6412157082957143,0.5618233618233618,3,0.5781990521327014,0.8,3.671947956085205,4.4844629764556885,0.0781254768371582
7,0.527077497665733,0.5477239319474223,0.570053814498259,3,0.5876777251184834,0.8,3.8125758171081543,4.50008749961853,0.0781254768371582
8,0.5407174103237095,0.5535238222796853,0.5669515669515669,3,0.5829383886255924,0.8,3.968827247619629,4.468838453292847,0.07812643051147461
9,0.5059281842818428,0.5338017000961645,0.5649256093700538,3,0.5829383886255924,0.8,3.953202724456787,4.593839645385742,0.0781257152557373
10,0.48913763643337865,0.5243070155953149,0.5649256093700538,3,0.5829383886255924,0.8,4.031328916549683,4.468837738037109,0.07812666893005371
11,0.4881616161616162,0.5206225810363375,0.5577081354859131,3,0.5734597156398105,0.8,4.093831300735474,4.4688379764556885,0.07812619209289551
12,0.5138320138320138,0.5329719275368294,0.5535929091484647,3,0.5687203791469194,0.8,4.062580108642578,4.48446249961853,0.07812643051147461
13,0.5391884181999714,0.552721577167706,0.5669515669515669,3,0.5829383886255924,0.8,4.156331300735474,4.453213214874268,0.0781254768371582
14,0.45254250151791137,0.4971718715521767,0.5515669515669516,3,0.5687203791469194,0.8,4.250084161758423,4.484463214874268,0.07812619209289551
15,0.4831476671476671,0.511925860969458,0.5443494776828111,3,0.5592417061611374,0.8,4.375085353851318,4.453213691711426,0.07812643051147461
16,0.5330555555555555,0.5391387828689369,0.5453624564735676,3,0.5592417061611374,0.8,4.515713453292847,4.5782151222229,0.0781259536743164
17,0.5245137085137085,0.5386611398675986,0.5535929091484647,3,0.5687203791469194,0.8,4.42196249961853,4.593840837478638,0.06250214576721191
18,0.5444776171520358,0.548997429265181,0.5535929091484647,3,0.5687203791469194,0.8,4.5625901222229,4.484462261199951,0.07812643051147461
19,0.49796486381852234,0.5243075077790695,0.5535929091484647,3,0.5687203791469194,0.8,4.546964406967163,4.500088453292847,0.0625009536743164
20,0.5210668748373667,0.5387652336179599,0.5577081354859132,3,0.5734597156398105,0.8,4.703218221664429,4.562590599060059,0.0625002384185791
