Feature,Precision,TimeTrainCommDetect,TimeTrainMatrix,Accuracy,Cluster,Threshold,F1Score,Recall,TimeTrainClus
1,0.9469987228607918,3.2031869888305664,3.2656896114349365,0.9464285714285714,2,0.8,0.9467135613022898,0.9464285714285714,0.0
2,0.9469987228607918,3.1875622272491455,3.20318865776062,0.9464285714285714,2,0.8,0.9467135613022898,0.9464285714285714,0.01562643051147461
3,1.0,3.312565565109253,3.375065326690674,1.0,2,0.8,1.0,1.0,0.0
4,0.9827586206896552,3.2969398498535156,3.281313180923462,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
5,0.9827586206896552,3.2813146114349365,3.265688419342041,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.015626192092895508
6,0.9827586206896552,3.296940803527832,3.234437942504883,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
7,0.9827586206896552,3.26568865776062,3.2188143730163574,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.015624523162841797
8,0.9827586206896552,3.2344377040863037,3.2500641345977783,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
9,0.9827586206896552,3.390691041946411,3.3750669956207275,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
10,0.9827586206896552,3.3906924724578857,3.2813127040863037,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
11,0.9827586206896552,3.2969415187835693,3.2656891345977783,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
12,0.9827586206896552,3.312565326690674,3.234437942504883,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
13,0.9827586206896552,3.2656891345977783,3.281313419342041,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
14,0.9827586206896552,3.265690326690674,3.2500619888305664,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
15,0.9827586206896552,3.2813146114349365,3.4531924724578857,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
16,0.9827586206896552,3.26568865776062,3.250063419342041,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
17,0.9827586206896552,3.2813143730163574,3.2500643730163574,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
18,0.9827586206896552,3.2656893730163574,3.2188146114349365,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.01562356948852539
19,0.9827586206896552,3.2656891345977783,3.2656891345977783,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
20,0.9827586206896552,3.3281898498535156,3.23443865776062,0.9821428571428571,2,0.8,0.9824506424318397,0.9821428571428572,0.0
