Feature,Recall,TimeTrainMatrix,F1Score,Accuracy,Precision,TimeTrainClus,TimeTrainCommDetect,Cluster,Threshold
1,0.7506849315068493,13.609665393829346,0.6008771929824561,0.5018248175182481,0.5009140767824497,2.8906588554382324,40.56329607963562,2,0.8
2,0.7506849315068493,22.531715869903564,0.6008771929824561,0.5018248175182481,0.5009140767824497,2.8906588554382324,40.453919887542725,2,0.8
3,0.5409736659736659,31.359990119934082,0.5329707748601309,0.5246350364963503,0.5252012134410912,3.671948194503784,40.87580370903015,2,0.8
4,0.8936467840069535,40.391419649124146,0.8898456569725975,0.8859489051094891,0.8860767291702047,3.984463930130005,40.578922748565674,2,0.8
5,0.9313659404659189,49.094736099243164,0.9287738806090085,0.926094890510949,0.9261962084960856,2.7812840938568115,40.8445520401001,2,0.8
6,0.8999521513239831,58.15739417076111,0.8961913988773226,0.8923357664233577,0.8924619467670986,3.1250593662261963,40.500794887542725,2,0.8
7,0.9194939292319984,67.14194393157959,0.917814585033472,0.916058394160584,0.9161413638891387,2.718804121017456,40.26641583442688,2,0.8
8,0.9065545298498385,75.39208555221558,0.9035969816190956,0.9005474452554745,0.900658668078574,3.875075340270996,40.40704298019409,2,0.8
9,0.9299816614646019,85.20482063293457,0.9285303922632372,0.927007299270073,0.9270836455180268,3.812554359436035,40.12578868865967,2,0.8
10,0.9299816614646019,93.65811276435852,0.9285303922632372,0.927007299270073,0.9270836455180268,2.7187817096710205,39.3757746219635,2,0.8
11,0.9299816614646019,104.58020257949829,0.9285303922632372,0.927007299270073,0.9270836455180268,2.7187812328338623,40.56329679489136,2,0.8
12,0.9449555412716268,112.17405390739441,0.9437694443018234,0.9425182481751825,0.9425863211489729,2.812549591064453,39.15701866149902,2,0.8
13,0.9465535702335541,122.22114992141724,0.9454794750630056,0.9443430656934306,0.9444078147737451,3.062540292739868,40.2664155960083,2,0.8
14,0.9439191654143643,130.42446303367615,0.9427943661448998,0.9416058394160584,0.9416722443665231,2.703153133392334,41.5945680141449,2,0.8
15,0.9455528846153847,139.64333486557007,0.9449716677237455,0.9443430656934306,0.9443911649234273,2.671926975250244,39.59452748298645,2,0.8
16,0.9467366866771563,147.70605278015137,0.9460220902062337,0.9452554744525548,0.9453085716759406,2.6406519412994385,39.81328225135803,2,0.8
17,0.9498830415210943,157.09685063362122,0.9494154051297311,0.948905109489051,0.9489482289554216,2.68753981590271,40.70392465591431,2,0.8
18,0.9508757525998905,166.3939220905304,0.9503687589910579,0.9498175182481752,0.9498623057378714,2.703150749206543,40.594547271728516,2,0.8
19,0.954958108707321,175.78470182418823,0.9546853313737771,0.9543795620437956,0.9544127098297386,2.968783140182495,39.96953582763672,2,0.8
20,0.9497356350596281,181.97234749794006,0.9493401023651092,0.948905109489051,0.9489448989853582,2.546903610229492,39.516401052474976,2,0.8
