Feature,TimeTrainCommDetect,Precision,F1Score,Threshold,Cluster,Accuracy,TimeTrainMatrix,Recall,TimeTrainClus
1,45.10996913909912,0.5008605851979346,0.6006882315719124,0.8,2,0.5008605851979346,15.390850305557251,0.7502153316106804,3.4062745571136475
2,46.50061392784119,0.9302925989672978,0.930308533757534,0.8,2,0.9302925989672978,26.234744548797607,0.9303244690936671,4.187532424926758
3,45.750603675842285,0.9578313253012047,0.957983985601335,0.8,2,0.9578313253012049,37.14111590385437,0.9581366945715843,4.593810319900513
4,45.9068546295166,0.9578313253012047,0.957983985601335,0.8,2,0.9578313253012049,47.29749941825867,0.9581366945715843,3.2500429153442383
5,46.203734159469604,0.9802065404475043,0.9802926296606542,0.8,2,0.9802065404475043,58.34454703330994,0.980378733997155,3.3125178813934326
6,46.641239404678345,0.9819277108433735,0.9820483950519598,0.8,2,0.9819277108433735,68.70403122901917,0.9821691089296722,3.1875431537628174
7,45.969356536865234,0.9810671256454389,0.9811697678040676,0.8,2,0.9810671256454389,83.76669573783875,0.9812724314423991,4.171928882598877
8,46.07873320579529,0.9724612736660929,0.9726881789803973,0.8,2,0.9724612736660929,91.12620306015015,0.9729151902074802,4.53131103515625
9,45.188096046447754,0.9776247848537005,0.9776361046896803,0.8,2,0.9776247848537005,100.84508228302002,0.9776474247878061,3.1719160079956055
10,45.84435510635376,0.9724612736660929,0.972562079747155,0.8,2,0.9724612736660929,111.54834914207458,0.972662906729655,4.593809127807617
11,45.29747295379639,0.9776247848537005,0.9776700690640814,0.8,2,0.9776247848537005,122.53286838531494,0.9777153574698442,3.2031664848327637
12,45.73497772216797,0.9767641996557659,0.9768214113990046,0.8,2,0.9767641996557659,134.22052216529846,0.9768786298447316,4.0156543254852295
13,46.04748320579529,0.9750430292598967,0.9750775114194118,0.8,2,0.9750430292598967,143.720641374588,0.9751119960179193,3.6093997955322266
14,45.20372200012207,0.9759036144578314,0.9759487354857274,0.8,2,0.9759036144578314,155.73639607429504,0.9759938606861691,3.7031733989715576
15,43.46932315826416,0.9802065404475043,0.9802243236553839,0.8,2,0.9802065404475043,165.04907631874084,0.9802421075085324,3.2343947887420654
16,45.188095569610596,0.9776247848537005,0.9776502556251606,0.8,2,0.9776247848537005,175.64292454719543,0.9776757277238723,3.46877384185791
17,45.563100814819336,0.9802065404475043,0.9802243236553839,0.8,2,0.9802065404475043,187.0649344921112,0.9802421075085324,3.1875507831573486
18,45.26622176170349,0.9802065404475043,0.9802243236553839,0.8,2,0.9802065404475043,197.76820373535156,0.9802421075085324,3.531297206878662
19,45.8756058216095,0.9802065404475042,0.9802413974062661,0.8,2,0.9802065404475043,208.26841402053833,0.9802762568442012,3.4063165187835693
20,46.407161474227905,0.9750430292598968,0.9751000344687275,0.8,2,0.9750430292598967,219.36365723609924,0.975157046343487,3.4375672340393066
